Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['Richard Heart' 'Margie Willoughby'],Dinner,2014-09-06 22:00:00+02:00,67,2014,5,Friday
['Audrey Lalk'],Lunch,2018-07-27 13:00:00+02:00,78,2018,30,Monday
['Margie Willoughby' 'Audrey Lalk'],Breakfast,2017-01-03 07:00:00+01:00,254,2017,6,Friday
['Louise Brown'],Lunch,2014-04-22 14:00:00+02:00,341,2014,20,Sunday
['Joseph Noell'],Breakfast,2017-08-28 09:00:00+02:00,347,2017,24,Thursday
['Joseph Noell'],Breakfast,2015-06-04 09:00:00+02:00,456,2015,9,Tuesday
['Karen Barton'],Breakfast,2014-11-06 08:00:00+01:00,251,2014,2,Sunday
['Karen Barton'],Dinner,2015-08-21 20:00:00+02:00,9,2015,22,Saturday
['Earl Hinger'],Breakfast,2018-09-26 09:00:00+02:00,512,2018,24,Monday
['Earl Hinger'],Lunch,2016-08-02 13:00:00+02:00,157,2016,1,Monday
['Karen Barton'],Breakfast,2016-06-24 08:00:00+02:00,183,2016,22,Wednesday
['Karen Barton'],Dinner,2014-04-07 22:00:00+02:00,601,2014,4,Friday
['Earl Hinger'],Breakfast,2015-10-08 07:00:00+02:00,519,2015,7,Wednesday
['Earl Hinger'],Lunch,2014-01-31 12:00:00+01:00,83,2014,2,Sunday
['Earl Hinger'],Breakfast,2015-09-03 09:00:00+02:00,174,2015,30,Sunday
['Earl Hinger'],Dinner,2014-10-08 22:00:00+02:00,669,2014,12,Sunday
['Karen Barton'],Lunch,2018-05-21 12:00:00+02:00,512,2018,23,Wednesday
['Earl Hinger'],Dinner,2017-06-08 22:00:00+02:00,619,2017,7,Wednesday
['Karen Barton'],Dinner,2018-02-16 22:00:00+01:00,99,2018,19,Monday
['Earl Hinger'],Breakfast,2016-12-20 09:00:00+01:00,679,2016,21,Wednesday
['Richard Simon'],Dinner,2018-09-03 22:00:00+02:00,86,2018,1,Saturday
['Richard Simon'],Dinner,2015-07-24 21:00:00+02:00,286,2015,29,Wednesday
['Richard Simon'],Lunch,2017-11-12 12:00:00+01:00,591,2017,15,Wednesday
['Richard Simon'],Breakfast,2016-09-09 08:00:00+02:00,519,2016,12,Monday
['Richard Simon'],Breakfast,2018-06-08 08:00:00+02:00,166,2018,11,Monday
['Richard Simon'],Breakfast,2017-07-17 09:00:00+02:00,204,2017,18,Tuesday
['Richard Simon'],Breakfast,2015-06-12 08:00:00+02:00,592,2015,13,Saturday
['Richard Simon'],Lunch,2018-03-10 13:00:00+01:00,548,2018,9,Friday
['Richard Simon'],Dinner,2014-04-16 21:00:00+02:00,689,2014,13,Sunday
['Richard Simon'],Breakfast,2015-03-20 09:00:00+01:00,430,2015,23,Monday
['Richard Simon'],Dinner,2014-12-26 21:00:00+01:00,119,2014,24,Wednesday
['Richard Simon'],Dinner,2018-02-12 22:00:00+01:00,365,2018,12,Monday
['Richard Simon'],Lunch,2015-04-08 14:00:00+02:00,373,2015,10,Friday
['Richard Simon'],Dinner,2017-10-29 20:00:00+01:00,373,2017,2,Thursday
['Richard Simon'],Breakfast,2017-01-25 08:00:00+01:00,703,2017,30,Monday
['Richard Simon'],Dinner,2017-09-17 21:00:00+02:00,272,2017,13,Wednesday
['Richard Simon'],Breakfast,2015-05-03 09:00:00+02:00,451,2015,6,Wednesday
['Amanda Wentz' 'Dale Dobson'],Breakfast,2014-12-12 08:00:00+01:00,858,2014,13,Saturday
['Frederick Mcmurray'],Breakfast,2016-08-19 08:00:00+02:00,220,2016,21,Sunday
['June Pharr' 'Amanda Wentz' 'Dale Dobson' 'Frederick Mcmurray'],Dinner,2015-10-15 22:00:00+02:00,444,2015,17,Saturday
['Amanda Wentz' 'Kenneth Anderson'],Lunch,2016-08-23 13:00:00+02:00,631,2016,21,Sunday
['Kenneth Anderson' 'Dale Dobson' 'Frederick Mcmurray'],Lunch,2017-11-02 14:00:00+01:00,654,2017,6,Monday
['Amanda Wentz' 'June Pharr' 'Kenneth Anderson'],Lunch,2016-08-05 12:00:00+02:00,454,2016,3,Wednesday
['Dale Dobson' 'Amanda Wentz' 'Frederick Mcmurray' 'Kenneth Anderson'],Lunch,2016-07-01 14:00:00+02:00,270,2016,30,Thursday
['Amanda Wentz' 'Dale Dobson' 'June Pharr' 'Frederick Mcmurray'],Lunch,2015-11-17 14:00:00+01:00,210,2015,17,Tuesday
['Robert Williams'],Lunch,2016-12-15 12:00:00+01:00,272,2016,18,Sunday
['Christine Moreira' 'Robert Williams'],Lunch,2015-04-03 12:00:00+02:00,152,2015,7,Tuesday
['Christine Moreira' 'Vincent Leggett' 'Robert Williams'],Breakfast,2016-09-23 09:00:00+02:00,449,2016,26,Monday
['Vincent Leggett'],Lunch,2018-07-21 13:00:00+02:00,351,2018,26,Thursday
['Robert Williams' 'Christine Moreira' 'Edmond Markarian'],Lunch,2017-02-13 14:00:00+01:00,789,2017,17,Friday
['Robert Williams' 'Vincent Leggett'],Lunch,2014-02-26 12:00:00+01:00,494,2014,27,Thursday
['Edmond Markarian' 'Christine Moreira'],Dinner,2014-01-22 20:00:00+01:00,272,2014,27,Monday
['Danny Mangum'],Dinner,2014-06-18 20:00:00+02:00,203,2014,22,Sunday
['Danny Mangum'],Dinner,2015-01-27 20:00:00+01:00,441,2015,24,Saturday
['Danny Mangum'],Lunch,2014-07-15 14:00:00+02:00,489,2014,13,Sunday
['Danny Mangum'],Lunch,2014-04-16 12:00:00+02:00,93,2014,15,Tuesday
['Danny Mangum'],Dinner,2015-11-23 20:00:00+01:00,355,2015,21,Saturday
['Danny Mangum'],Breakfast,2015-02-21 07:00:00+01:00,33,2015,19,Thursday
['Danny Mangum'],Dinner,2015-06-16 21:00:00+02:00,359,2015,12,Friday
['Danny Mangum'],Breakfast,2016-12-26 09:00:00+01:00,131,2016,23,Friday
['Danny Mangum'],Lunch,2015-12-25 12:00:00+01:00,799,2015,27,Sunday
['Danny Mangum'],Lunch,2016-12-09 12:00:00+01:00,772,2016,12,Monday
['Danny Mangum'],Dinner,2015-08-09 20:00:00+02:00,222,2015,13,Thursday
['Danny Mangum'],Breakfast,2018-02-23 07:00:00+01:00,122,2018,28,Wednesday
['Danny Mangum'],Dinner,2017-01-26 20:00:00+01:00,273,2017,29,Sunday
['Danny Mangum'],Dinner,2018-12-19 21:00:00+01:00,577,2018,17,Monday
['Alonzo Lang' 'James Piper'],Dinner,2018-01-01 22:00:00+01:00,802,2017,29,Friday
['Roberta Mccallister'],Lunch,2018-08-26 13:00:00+02:00,526,2018,25,Saturday
['Roberta Mccallister'],Lunch,2017-04-14 13:00:00+02:00,404,2017,14,Friday
['Krystal Mahaffey' 'Roberta Mccallister'],Lunch,2017-07-01 14:00:00+02:00,593,2017,5,Wednesday
['James Piper'],Breakfast,2015-07-22 09:00:00+02:00,440,2015,19,Sunday
['Krystal Mahaffey' 'Roberta Mccallister'],Dinner,2017-06-09 21:00:00+02:00,38,2017,6,Tuesday
['Alonzo Lang'],Dinner,2017-03-05 21:00:00+01:00,568,2017,5,Sunday
['James Piper' 'Alonzo Lang' 'Roberta Mccallister'],Dinner,2017-12-24 22:00:00+01:00,515,2017,27,Wednesday
['James Piper'],Dinner,2015-06-11 20:00:00+02:00,794,2015,13,Saturday
['Alonzo Lang'],Dinner,2016-01-04 21:00:00+01:00,751,2016,8,Friday
['Roberta Mccallister' 'James Piper'],Dinner,2015-04-27 20:00:00+02:00,787,2015,30,Thursday
['Dianne Todd'],Lunch,2018-12-11 13:00:00+01:00,69,2018,13,Thursday
['Joan King'],Dinner,2018-01-07 21:00:00+01:00,146,2018,6,Saturday
['Joan King'],Dinner,2017-09-10 20:00:00+02:00,506,2017,12,Tuesday
['Joan King'],Lunch,2016-07-24 12:00:00+02:00,218,2016,22,Friday
['Dianne Todd'],Breakfast,2018-12-16 07:00:00+01:00,557,2018,21,Friday
['Joan King'],Lunch,2018-02-17 14:00:00+01:00,611,2018,21,Wednesday
['Dianne Todd'],Breakfast,2014-11-08 08:00:00+01:00,817,2014,6,Thursday
['Dianne Todd'],Dinner,2015-03-05 21:00:00+01:00,642,2015,5,Thursday
['Joan King'],Dinner,2018-02-24 21:00:00+01:00,749,2018,28,Wednesday
['Joan King'],Lunch,2017-09-29 13:00:00+02:00,306,2017,25,Monday
['Dianne Todd'],Breakfast,2014-11-27 09:00:00+01:00,260,2014,23,Sunday
['Dianne Todd'],Lunch,2015-06-29 12:00:00+02:00,370,2015,1,Wednesday
['Dianne Todd'],Breakfast,2016-04-23 08:00:00+02:00,671,2016,26,Tuesday
['Dianne Todd'],Dinner,2018-08-03 20:00:00+02:00,187,2018,30,Monday
['Dianne Todd'],Lunch,2017-05-20 14:00:00+02:00,158,2017,22,Monday
['Joan King'],Lunch,2017-04-04 12:00:00+02:00,149,2017,8,Saturday
['Howard Radcliffe'],Lunch,2017-02-01 14:00:00+01:00,706,2017,3,Friday
['Donald Mills'],Breakfast,2014-02-20 09:00:00+01:00,631,2014,23,Sunday
['Howard Radcliffe'],Lunch,2014-12-10 13:00:00+01:00,154,2014,8,Monday
['Donald Mills'],Dinner,2017-04-17 20:00:00+02:00,833,2017,20,Thursday
['Donald Mills'],Breakfast,2016-04-12 07:00:00+02:00,114,2016,14,Thursday
['Donald Mills'],Dinner,2018-02-08 21:00:00+01:00,713,2018,8,Thursday
['Howard Radcliffe'],Breakfast,2015-05-04 07:00:00+02:00,560,2015,1,Friday
['Howard Radcliffe'],Lunch,2017-01-14 13:00:00+01:00,392,2017,15,Sunday
['Howard Radcliffe'],Dinner,2016-03-23 20:00:00+01:00,238,2016,22,Tuesday
['Donald Mills'],Dinner,2016-10-24 22:00:00+02:00,663,2016,25,Tuesday
['Howard Radcliffe'],Breakfast,2018-01-07 08:00:00+01:00,199,2018,12,Friday
['Donald Mills'],Lunch,2015-10-02 12:00:00+02:00,126,2015,4,Sunday
['Harold Shelton'],Lunch,2015-08-24 12:00:00+02:00,555,2015,21,Friday
['Harold Shelton'],Breakfast,2018-11-16 08:00:00+01:00,540,2018,21,Wednesday
['Anna Gonzales'],Dinner,2016-06-20 22:00:00+02:00,102,2016,19,Sunday
['Anna Gonzales'],Dinner,2018-08-11 21:00:00+02:00,840,2018,10,Friday
['Harold Shelton'],Lunch,2017-01-19 12:00:00+01:00,55,2017,15,Sunday
['Harold Shelton'],Breakfast,2016-03-10 07:00:00+01:00,188,2016,6,Sunday
['Anna Gonzales'],Lunch,2016-10-05 12:00:00+02:00,263,2016,9,Sunday
['Anna Gonzales'],Breakfast,2016-08-10 08:00:00+02:00,226,2016,9,Tuesday
['Harold Shelton'],Lunch,2017-06-11 12:00:00+02:00,65,2017,12,Monday
['Melvin Lindley' 'Ramona Mattingly'],Breakfast,2014-06-08 09:00:00+02:00,684,2014,9,Monday
['Tiffany Smith' 'Melvin Lindley'],Dinner,2017-09-08 20:00:00+02:00,32,2017,6,Wednesday
['Melvin Lindley'],Breakfast,2015-10-16 07:00:00+02:00,653,2015,16,Friday
['Melvin Lindley'],Breakfast,2014-05-29 09:00:00+02:00,303,2014,2,Monday
['Tiffany Smith'],Dinner,2016-08-09 20:00:00+02:00,154,2016,6,Saturday
['Melvin Lindley'],Breakfast,2015-10-01 08:00:00+02:00,103,2015,29,Tuesday
['Tiffany Smith'],Breakfast,2014-03-18 08:00:00+01:00,86,2014,18,Tuesday
['Ramona Mattingly'],Breakfast,2014-07-06 09:00:00+02:00,448,2014,10,Thursday
['Melvin Lindley'],Dinner,2015-10-18 22:00:00+02:00,638,2015,14,Wednesday
['Melvin Lindley' 'Tiffany Smith'],Lunch,2014-12-02 13:00:00+01:00,497,2014,6,Saturday
['Tiffany Smith'],Dinner,2015-04-24 21:00:00+02:00,413,2015,23,Thursday
['Orlando Hartley'],Breakfast,2017-12-04 09:00:00+01:00,266,2017,6,Wednesday
['Odessa Burdick' 'Orlando Hartley'],Dinner,2014-05-17 20:00:00+02:00,544,2014,14,Wednesday
['Odessa Burdick'],Lunch,2015-04-30 12:00:00+02:00,645,2015,1,Friday
['Halina Bradley'],Dinner,2015-06-28 20:00:00+02:00,233,2015,24,Wednesday
['Orlando Hartley' 'Odessa Burdick'],Breakfast,2018-04-18 09:00:00+02:00,635,2018,16,Monday
['Orlando Hartley'],Lunch,2018-12-13 14:00:00+01:00,642,2018,14,Friday
['Odessa Burdick'],Dinner,2016-11-17 21:00:00+01:00,550,2016,15,Tuesday
['Odessa Burdick'],Dinner,2015-10-12 20:00:00+02:00,496,2015,8,Thursday
['Odessa Burdick' 'Orlando Hartley'],Dinner,2017-12-30 21:00:00+01:00,341,2018,2,Tuesday
['Odessa Burdick'],Breakfast,2017-04-01 09:00:00+02:00,578,2017,6,Thursday
['Odessa Burdick'],Lunch,2016-03-26 14:00:00+01:00,211,2016,24,Thursday
['Terry Bender' 'Matthew Holt' 'Gerald Velasquez'],Breakfast,2016-09-21 08:00:00+02:00,357,2016,22,Thursday
['Matthew Holt' 'Gerald Velasquez'],Breakfast,2015-01-20 08:00:00+01:00,793,2015,17,Saturday
"['Joann French' 'Norma Price' 'Gerald Velasquez' 'Matthew Holt'
 'Carrie Brown']",Breakfast,2014-10-31 07:00:00+01:00,497,2014,31,Friday
['Matthew Holt'],Lunch,2016-11-22 14:00:00+01:00,442,2016,18,Friday
['Matthew Holt' 'Norma Price' 'Terry Bender'],Breakfast,2015-02-03 08:00:00+01:00,303,2015,30,Friday
"['Carrie Brown' 'Joann French' 'Norma Price' 'Gerald Velasquez'
 'Terry Bender']",Dinner,2017-09-30 21:00:00+02:00,784,2017,5,Thursday
['Carrie Brown' 'Norma Price' 'Matthew Holt' 'Terry Bender'],Breakfast,2018-05-22 09:00:00+02:00,813,2018,23,Wednesday
['Joann French' 'Carrie Brown'],Breakfast,2015-08-20 08:00:00+02:00,224,2015,16,Sunday
['Carrie Brown'],Breakfast,2018-11-14 09:00:00+01:00,505,2018,17,Saturday
['Matthew Holt' 'Norma Price' 'Terry Bender'],Lunch,2014-05-06 12:00:00+02:00,269,2014,7,Wednesday
['Carrie Brown'],Lunch,2016-12-28 14:00:00+01:00,736,2016,27,Tuesday
"['Gerald Velasquez' 'Terry Bender' 'Matthew Holt' 'Carrie Brown'
 'Norma Price']",Lunch,2015-07-08 13:00:00+02:00,752,2015,11,Saturday
['Joann French'],Breakfast,2017-01-17 08:00:00+01:00,412,2017,17,Tuesday
['Norma Price' 'Joann French'],Breakfast,2018-04-11 07:00:00+02:00,270,2018,13,Friday
['David Mcneil'],Lunch,2017-06-04 12:00:00+02:00,619,2017,4,Sunday
['Margarita Lovaglio' 'David Mcneil'],Lunch,2018-12-09 13:00:00+01:00,23,2018,13,Thursday
['Cynthia Trower' 'Johnny Spence' 'David Mcneil' 'Gwendolyn Dockery'],Dinner,2017-03-31 22:00:00+02:00,347,2017,5,Wednesday
['Shawna Lilly' 'Margarita Lovaglio' 'Cynthia Trower'],Dinner,2015-01-25 20:00:00+01:00,802,2015,25,Sunday
"['Gwendolyn Dockery' 'Johnny Spence' 'Shawna Lilly' 'Cynthia Trower'
 'Margarita Lovaglio']",Lunch,2018-08-30 13:00:00+02:00,677,2018,26,Sunday
['Johnny Spence' 'Shawna Lilly' 'David Mcneil'],Breakfast,2017-07-17 08:00:00+02:00,128,2017,18,Tuesday
['David Mcneil' 'Johnny Spence' 'Cynthia Trower' 'Gwendolyn Dockery'],Breakfast,2015-05-29 07:00:00+02:00,640,2015,3,Wednesday
['Margarita Lovaglio' 'David Mcneil'],Lunch,2015-12-05 13:00:00+01:00,694,2015,2,Wednesday
['Margarita Lovaglio' 'Cynthia Trower' 'Gwendolyn Dockery' 'Shawna Lilly'],Lunch,2018-12-17 12:00:00+01:00,501,2018,21,Friday
"['Gwendolyn Dockery' 'Johnny Spence' 'David Mcneil' 'Margarita Lovaglio'
 'Shawna Lilly']",Lunch,2016-09-15 12:00:00+02:00,275,2016,15,Thursday
['Gwendolyn Dockery'],Breakfast,2017-05-13 08:00:00+02:00,58,2017,12,Friday
['Shawna Lilly' 'Gwendolyn Dockery'],Breakfast,2014-07-27 08:00:00+02:00,39,2014,25,Friday
['Gwendolyn Dockery'],Dinner,2016-12-09 21:00:00+01:00,815,2016,14,Wednesday
['Mary Carrillo'],Breakfast,2016-08-21 09:00:00+02:00,200,2016,20,Saturday
['Maria Quick'],Breakfast,2016-11-17 09:00:00+01:00,232,2016,17,Thursday
['Maria Quick'],Breakfast,2014-04-05 09:00:00+02:00,533,2014,3,Thursday
['Maria Quick'],Breakfast,2014-09-12 09:00:00+02:00,691,2014,13,Saturday
['Mary Carrillo'],Dinner,2018-10-18 20:00:00+02:00,527,2018,16,Tuesday
['Mary Carrillo'],Dinner,2016-02-25 20:00:00+01:00,450,2016,26,Friday
['Mary Carrillo'],Dinner,2015-08-04 20:00:00+02:00,642,2015,5,Wednesday
['Maria Quick'],Breakfast,2014-12-03 07:00:00+01:00,61,2014,8,Monday
['Mary Carrillo'],Dinner,2018-07-06 21:00:00+02:00,358,2018,4,Wednesday
['Mary Carrillo'],Dinner,2016-01-16 21:00:00+01:00,644,2016,13,Wednesday
['Mary Carrillo'],Breakfast,2018-10-08 07:00:00+02:00,727,2018,4,Thursday
['Maria Quick'],Dinner,2018-09-09 22:00:00+02:00,511,2018,7,Friday
['Maria Quick'],Breakfast,2017-05-11 07:00:00+02:00,53,2017,13,Saturday
['Mary Carrillo'],Dinner,2018-07-09 22:00:00+02:00,594,2018,9,Monday
['Maria Quick'],Lunch,2018-07-28 12:00:00+02:00,782,2018,1,Wednesday
['Mary Carrillo'],Lunch,2015-11-30 14:00:00+01:00,163,2015,4,Friday
['Leslie Collins'],Dinner,2014-02-19 22:00:00+01:00,343,2014,18,Tuesday
['Mary Nilsen' 'Leslie Collins' 'Ruby Stewart'],Dinner,2017-06-20 20:00:00+02:00,356,2017,24,Saturday
['Ruby Stewart'],Breakfast,2017-05-07 09:00:00+02:00,482,2017,3,Wednesday
['Mary Nilsen'],Dinner,2014-08-09 22:00:00+02:00,178,2014,11,Monday
['Casey Satterfield'],Lunch,2017-11-24 14:00:00+01:00,865,2017,28,Tuesday
['Mary Nilsen' 'Casey Satterfield' 'Ruby Stewart'],Dinner,2015-10-21 22:00:00+02:00,252,2015,18,Sunday
['Casey Satterfield'],Lunch,2016-08-29 13:00:00+02:00,52,2016,2,Friday
['Ruby Stewart' 'Casey Satterfield' 'Leslie Collins'],Dinner,2017-07-22 21:00:00+02:00,609,2017,23,Sunday
['Leslie Collins'],Lunch,2016-10-29 12:00:00+02:00,332,2016,31,Monday
['Casey Satterfield'],Lunch,2017-07-21 12:00:00+02:00,342,2017,17,Monday
['Leslie Collins' 'Mary Nilsen'],Dinner,2017-03-08 22:00:00+01:00,307,2017,12,Sunday
['Ruby Stewart'],Lunch,2016-04-30 12:00:00+02:00,147,2016,27,Wednesday
['Leslie Collins' 'Ruby Stewart'],Dinner,2018-08-02 22:00:00+02:00,346,2018,5,Sunday
['William Egleston' 'Charlie Gladwell'],Breakfast,2015-02-24 09:00:00+01:00,802,2015,20,Friday
['William Egleston' 'Robert Sexton' 'Jason Criswell'],Lunch,2016-02-29 12:00:00+01:00,467,2016,28,Sunday
['Charlie Gladwell'],Breakfast,2016-07-09 09:00:00+02:00,508,2016,13,Wednesday
['Charlie Gladwell' 'William Herzog' 'Robert Sexton'],Lunch,2016-12-25 14:00:00+01:00,174,2016,23,Friday
['Logan Capetillo'],Breakfast,2015-12-22 08:00:00+01:00,318,2015,21,Monday
['Charlie Gladwell' 'William Herzog'],Dinner,2018-06-10 20:00:00+02:00,62,2018,11,Monday
['Robert Sexton' 'William Herzog'],Lunch,2017-01-07 13:00:00+01:00,489,2017,12,Thursday
['Robert Sexton' 'William Herzog' 'Charlie Gladwell'],Dinner,2014-05-05 22:00:00+02:00,97,2014,7,Wednesday
['Robert Sexton'],Lunch,2015-01-26 14:00:00+01:00,666,2015,26,Monday
['Robert Stogner'],Lunch,2014-05-10 12:00:00+02:00,497,2014,15,Thursday
['Patty Mccray'],Breakfast,2017-07-06 09:00:00+02:00,41,2017,9,Sunday
['Diana Pirtle' 'Robert Stogner'],Lunch,2018-07-06 12:00:00+02:00,123,2018,9,Monday
['Diana Pirtle'],Breakfast,2014-04-03 08:00:00+02:00,158,2014,3,Thursday
['Robert Stogner' 'Diana Pirtle' 'Andrew Veselka'],Dinner,2018-07-07 22:00:00+02:00,465,2018,9,Monday
['Patty Mccray'],Lunch,2017-12-24 13:00:00+01:00,663,2017,20,Wednesday
['Andrew Veselka'],Breakfast,2017-10-10 09:00:00+02:00,791,2017,14,Saturday
['Patty Mccray'],Breakfast,2018-09-07 08:00:00+02:00,546,2018,6,Thursday
['Robert Stogner'],Breakfast,2015-04-29 08:00:00+02:00,794,2015,4,Monday
['Andrew Veselka'],Lunch,2017-04-30 13:00:00+02:00,511,2017,5,Friday
['David Glasgow'],Dinner,2016-02-05 22:00:00+01:00,70,2016,3,Wednesday
['David Glasgow'],Dinner,2017-08-03 20:00:00+02:00,385,2017,3,Thursday
['David Glasgow'],Dinner,2015-08-01 20:00:00+02:00,362,2015,1,Saturday
['David Glasgow'],Lunch,2018-08-28 14:00:00+02:00,486,2018,1,Saturday
['April Boone'],Dinner,2015-02-07 20:00:00+01:00,142,2015,5,Thursday
['April Boone' 'David Glasgow'],Dinner,2016-10-02 22:00:00+02:00,778,2016,30,Friday
['David Glasgow'],Breakfast,2018-07-26 09:00:00+02:00,726,2018,22,Sunday
['April Boone' 'Yvonne Staton'],Lunch,2018-05-21 12:00:00+02:00,78,2018,26,Saturday
['Yvonne Staton' 'April Boone'],Breakfast,2015-06-26 07:00:00+02:00,565,2015,29,Monday
['April Boone'],Lunch,2014-04-27 12:00:00+02:00,697,2014,27,Sunday
['April Boone'],Lunch,2016-06-05 12:00:00+02:00,768,2016,2,Thursday
['Yvonne Staton' 'April Boone'],Dinner,2017-01-07 20:00:00+01:00,33,2017,7,Saturday
['April Boone'],Lunch,2015-06-19 12:00:00+02:00,270,2015,16,Tuesday
['David Glasgow'],Dinner,2018-05-23 22:00:00+02:00,543,2018,20,Sunday
['David Glasgow'],Breakfast,2014-12-22 07:00:00+01:00,431,2014,22,Monday
['Yvonne Staton'],Breakfast,2018-08-12 08:00:00+02:00,584,2018,9,Thursday
['David Glasgow'],Breakfast,2017-12-27 08:00:00+01:00,114,2017,23,Saturday
['Carisa Lopez'],Lunch,2014-02-10 12:00:00+01:00,141,2014,11,Tuesday
['Maureen Wright'],Dinner,2018-06-26 21:00:00+02:00,78,2018,28,Thursday
['Carisa Lopez'],Lunch,2018-01-10 14:00:00+01:00,411,2018,9,Tuesday
['Maureen Wright'],Dinner,2016-12-29 21:00:00+01:00,185,2016,25,Sunday
['Carisa Lopez'],Dinner,2017-09-19 22:00:00+02:00,15,2017,15,Friday
['Maureen Wright'],Lunch,2014-03-10 13:00:00+01:00,774,2014,8,Saturday
['Carisa Lopez'],Lunch,2016-03-06 14:00:00+01:00,561,2016,9,Wednesday
['Maureen Wright'],Lunch,2018-02-11 13:00:00+01:00,237,2018,13,Tuesday
['Maureen Wright'],Dinner,2014-11-20 22:00:00+01:00,231,2014,20,Thursday
['Maureen Wright'],Lunch,2017-05-30 12:00:00+02:00,364,2017,1,Thursday
['Carisa Lopez'],Dinner,2015-04-25 21:00:00+02:00,518,2015,22,Wednesday
['Maureen Wright'],Dinner,2015-03-07 21:00:00+01:00,277,2015,8,Sunday
['Maureen Wright'],Dinner,2016-10-19 22:00:00+02:00,161,2016,15,Saturday
['Carisa Lopez'],Breakfast,2017-03-26 09:00:00+02:00,399,2017,23,Thursday
['Jennifer Lopez' 'Carrie Mcintosh'],Lunch,2015-06-12 13:00:00+02:00,299,2015,9,Tuesday
['Michaela Nelson' 'Jennifer Lopez' 'Carrie Mcintosh'],Breakfast,2017-12-31 07:00:00+01:00,765,2018,3,Wednesday
['Jennifer Lopez' 'Carrie Mcintosh'],Dinner,2014-07-20 20:00:00+02:00,647,2014,19,Saturday
['Carrie Mcintosh' 'Jennifer Lopez' 'Michaela Nelson' 'Angel Miller'],Breakfast,2014-11-16 07:00:00+01:00,559,2014,16,Sunday
['Jennifer Lopez'],Lunch,2014-01-16 14:00:00+01:00,483,2014,17,Friday
['Christopher Cruz' 'Jennifer Lopez' 'Carrie Mcintosh'],Lunch,2015-05-26 14:00:00+02:00,155,2015,29,Friday
['Carrie Mcintosh'],Dinner,2017-02-13 20:00:00+01:00,603,2017,11,Saturday
['Carrie Mcintosh' 'Jennifer Lopez' 'Christopher Cruz' 'Michaela Nelson'],Dinner,2016-12-19 22:00:00+01:00,831,2016,22,Thursday
['Angel Miller'],Breakfast,2014-11-18 07:00:00+01:00,743,2014,20,Thursday
['Angel Miller'],Breakfast,2016-12-29 07:00:00+01:00,770,2016,30,Friday
['Angel Miller'],Dinner,2016-05-07 21:00:00+02:00,638,2016,10,Tuesday
['Carrie Mcintosh' 'Michaela Nelson'],Lunch,2015-05-06 12:00:00+02:00,846,2015,5,Tuesday
['Jennifer Lopez' 'Carrie Mcintosh'],Lunch,2014-08-20 14:00:00+02:00,806,2014,16,Saturday
['Joshua Griglen' 'Kim Curb' 'John Coles' 'Roger Bigelow' 'Betty Inman'],Breakfast,2015-11-01 07:00:00+01:00,493,2015,28,Wednesday
['Roger Bigelow'],Lunch,2014-09-14 14:00:00+02:00,604,2014,16,Tuesday
['Roger Bigelow' 'Betty Inman' 'John Coles' 'Lakeisha Mcmillan' 'Kim Curb'],Dinner,2016-05-27 20:00:00+02:00,302,2016,26,Thursday
"['Kim Curb' 'Joshua Griglen' 'Betty Inman' 'John Coles'
 'Lakeisha Mcmillan']",Breakfast,2015-04-03 08:00:00+02:00,721,2015,4,Saturday
"['Joshua Griglen' 'Betty Inman' 'John Coles' 'Kim Curb'
 'Lakeisha Mcmillan']",Lunch,2017-01-11 12:00:00+01:00,186,2017,15,Sunday
['Kim Curb' 'Joshua Griglen' 'John Coles'],Dinner,2018-04-16 21:00:00+02:00,712,2018,14,Saturday
"['Lakeisha Mcmillan' 'John Coles' 'Kim Curb' 'Joshua Griglen'
 'Roger Bigelow']",Dinner,2017-02-12 20:00:00+01:00,663,2017,11,Saturday
['Kim Curb' 'John Coles' 'Roger Bigelow' 'Joshua Griglen'],Dinner,2017-09-14 20:00:00+02:00,89,2017,15,Friday
['Lakeisha Mcmillan'],Lunch,2014-04-16 14:00:00+02:00,782,2014,15,Tuesday
['Joshua Griglen'],Dinner,2017-01-27 21:00:00+01:00,687,2017,1,Wednesday
['Dorothy Burnham'],Dinner,2014-08-12 20:00:00+02:00,239,2014,14,Thursday
['Maureen Scott' 'Willard Hartle'],Dinner,2017-09-10 21:00:00+02:00,278,2017,13,Wednesday
['Dorothy Burnham' 'Adalberto Whitcomb' 'Maureen Scott'],Lunch,2015-11-19 14:00:00+01:00,300,2015,15,Sunday
['Adalberto Whitcomb' 'Dorothy Burnham' 'Maureen Scott'],Dinner,2018-03-31 22:00:00+02:00,550,2018,30,Friday
['Dorothy Burnham'],Breakfast,2017-05-08 07:00:00+02:00,414,2017,6,Saturday
['Willard Hartle'],Dinner,2018-08-09 21:00:00+02:00,178,2018,12,Sunday
['Maureen Scott'],Lunch,2016-08-18 13:00:00+02:00,24,2016,14,Sunday
['Pat Valentine'],Lunch,2016-05-26 12:00:00+02:00,372,2016,22,Sunday
['Jean Ross'],Lunch,2015-04-24 13:00:00+02:00,423,2015,28,Tuesday
['Jean Ross' 'Timothy Gombert'],Dinner,2014-02-13 22:00:00+01:00,128,2014,14,Friday
['Pat Valentine' 'Timothy Gombert' 'Jonathan Whalen'],Breakfast,2015-09-23 07:00:00+02:00,569,2015,25,Friday
